#,symbol,entry,exit,days,in_px,out_px,net_pct,exit_reason
265,GLENMARK,2026-04-01,2026-06-19,79,2101.1,2213.6,4.35,still open (marked to last close)
266,HAPPSTMNDS,2026-04-01,2026-06-19,79,392.8,345.4,-13.07,still open (marked to last close)
267,HFCL,2026-04-01,2026-05-27,56,72.5,173.9,138.99,Lean Score dropped 15 from peak 76 (trail 15)
268,HONASA,2026-04-01,2026-06-19,79,307.4,417.4,34.76,Lean Score 45 fell below exit 60 (signal faded / re-rated)
269,IIFL,2026-04-01,2026-06-19,79,437.8,532.6,20.67,Lean Score dropped 18 from peak 83 (trail 15)
270,INTELLECT,2026-04-01,2026-06-19,79,635.9,746.7,16.42,Lean Score 53 fell below exit 60 (signal faded / re-rated)
271,IOB,2026-04-01,2026-06-19,79,32.4,35.1,7.27,still open (marked to last close)
272,IPCALAB,2026-04-01,2026-06-19,79,1508.2,1585.8,4.15,still open (marked to last close)
273,JAMNAAUTO,2026-04-01,2026-06-19,79,120.0,132.4,9.35,still open (marked to last close)
274,JSWSTEEL,2026-04-01,2026-06-19,79,1140.4,1295.0,12.56,still open (marked to last close)
275,LATENTVIEW,2026-04-01,2026-05-18,47,261.2,308.7,17.19,Lean Score 42 fell below exit 60 (signal faded / re-rated)
276,LLOYDSENGG,2026-04-01,2026-06-19,79,41.5,86.8,108.45,Lean Score 41 fell below exit 60 (signal faded / re-rated)
277,LLOYDSME,2026-04-01,2026-06-19,79,1347.6,1769.0,30.27,Lean Score 51 fell below exit 60 (signal faded / re-rated)
278,LODHA,2026-04-01,2026-04-27,26,685.4,879.5,27.32,Lean Score 37 fell below exit 60 (signal faded / re-rated)
279,LUPIN,2026-04-01,2026-06-19,79,2274.9,2351.6,2.37,still open (marked to last close)
280,MMTC,2026-04-01,2026-06-19,79,55.2,74.5,34.1,still open (marked to last close)
281,NEULANDLAB,2026-04-01,2026-06-19,79,12613.0,17345.0,36.52,Lean Score 45 fell below exit 60 (signal faded / re-rated)
282,NFL,2026-04-01,2026-06-19,79,69.4,77.9,11.13,still open (marked to last close)
283,NHPC,2026-04-01,2026-06-19,79,75.4,75.8,-0.43,still open (marked to last close)
284,NIACL,2026-04-01,2026-06-19,79,123.7,202.3,62.59,Lean Score dropped 17 from peak 82 (trail 15)
285,NLCINDIA,2026-04-01,2026-06-19,79,283.2,321.7,12.59,still open (marked to last close)
286,PAISALO,2026-04-01,2026-06-10,70,35.4,59.5,67.3,Lean Score 60 fell below exit 60 (signal faded / re-rated)
287,PCJEWELLER,2026-04-01,2026-06-19,79,8.2,8.9,7.0,still open (marked to last close)
288,PRESTIGE,2026-04-01,2026-06-19,79,1144.9,1497.3,29.78,Lean Score 43 fell below exit 60 (signal faded / re-rated)
289,PSPPROJECT,2026-04-01,2026-06-19,79,621.9,969.1,54.83,Lean Score 53 fell below exit 60 (signal faded / re-rated)
290,SFL,2026-04-01,2026-06-19,79,485.9,700.6,43.21,Lean Score dropped 19 from peak 83 (trail 15)
291,SOUTHBANK,2026-04-01,2026-06-04,64,36.4,44.6,21.69,Lean Score 59 fell below exit 60 (signal faded / re-rated)
292,STARHEALTH,2026-04-01,2026-06-19,79,469.9,580.2,22.48,Lean Score dropped 19 from peak 82 (trail 15)
293,STOVEKRAFT,2026-04-01,2026-06-19,79,477.4,694.2,44.42,Lean Score 55 fell below exit 60 (signal faded / re-rated)
294,SUDARSCHEM,2026-04-01,2026-06-19,79,778.4,913.6,16.38,Lean Score 55 fell below exit 60 (signal faded / re-rated)
295,SUPRIYA,2026-04-01,2026-06-19,79,601.0,932.2,54.11,still open (marked to last close)
296,SWIGGY,2026-04-01,2026-06-19,79,265.3,254.1,-5.24,Lean Score no longer computable
297,TATACHEM,2026-04-01,2026-06-19,79,606.8,729.1,19.17,Lean Score no longer computable
298,TRIVENI,2026-04-01,2026-06-19,79,392.7,403.6,1.76,Lean Score dropped 15 from peak 82 (trail 15)
