#,symbol,entry,exit,days,in_px,out_px,net_pct,exit_reason
45,JMFINANCIL,2025-12-31,2026-01-21,21,150.1,127.1,-16.3,Stop-loss hit (down -15%)
46,JUBLPHARMA,2025-12-31,2026-02-16,47,1073.3,894.5,-17.66,Stop-loss hit (down -17%)
47,KIRLOSBROS,2025-12-31,2026-03-16,75,1610.2,1518.4,-6.7,Lean Score 56 fell below exit 60 (signal faded / re-rated)
48,KIRLOSENG,2025-12-31,2026-03-16,75,1218.8,1470.2,19.63,Lean Score 46 fell below exit 60 (signal faded / re-rated)
49,M&M,2025-12-31,2026-03-12,71,3709.2,3031.2,-19.28,Stop-loss hit (down -18%)
50,MEDPLUS,2025-12-31,2026-03-16,75,807.3,825.8,1.29,Lean Score 46 fell below exit 60 (signal faded / re-rated)
51,MOTHERSON,2025-12-31,2026-04-30,120,119.9,121.2,0.06,Max holding period 120d reached
52,MRF,2025-12-31,2026-03-20,79,152855.0,127535.0,-17.56,Stop-loss hit (down -17%)
53,MRPL,2025-12-31,2026-03-16,75,152.0,206.8,35.01,Lean Score dropped 20 from peak 84 (trail 15)
54,NAVA,2025-12-31,2026-03-16,75,567.4,538.1,-6.16,Lean Score 57 fell below exit 60 (signal faded / re-rated)
55,NFL,2025-12-31,2026-02-24,55,91.5,77.4,-16.4,Stop-loss hit (down -15%)
56,NSLNISP,2025-12-31,2026-03-09,68,44.2,37.3,-16.68,Stop-loss hit (down -16%)
57,ONGC,2025-12-31,2026-04-30,120,240.4,299.6,23.62,Max holding period 120d reached
58,OSWALPUMPS,2025-12-31,2026-01-19,19,527.1,433.5,-18.76,Stop-loss hit (down -18%)
59,PREMIERENE,2025-12-31,2026-01-21,21,842.1,711.2,-16.55,Stop-loss hit (down -16%)
60,RBLBANK,2025-12-31,2026-03-16,75,315.8,296.1,-7.25,Lean Score 55 fell below exit 60 (signal faded / re-rated)
61,RENUKA,2025-12-31,2026-03-16,75,26.1,23.5,-11.1,Lean Score no longer computable
62,RTNPOWER,2025-12-31,2026-03-02,61,9.4,8.0,-16.36,Stop-loss hit (down -15%)
63,SAMBHV,2025-12-31,2026-04-30,120,96.1,118.7,22.58,Max holding period 120d reached
64,SANGHVIMOV,2025-12-31,2026-01-21,21,345.6,288.7,-17.45,Stop-loss hit (down -16%)
65,SENORES,2025-12-31,2026-04-01,91,822.2,773.5,-6.92,Lean Score 27 fell below exit 60 (signal faded / re-rated)
66,SONATSOFTW,2025-12-31,2026-02-12,43,359.9,288.6,-20.79,Stop-loss hit (down -20%)
67,SWIGGY,2025-12-31,2026-01-20,20,386.2,326.1,-16.57,Stop-loss hit (down -16%)
68,TANLA,2025-12-31,2026-01-20,20,525.5,441.2,-17.03,Stop-loss hit (down -16%)
69,TATACOMM,2025-12-31,2026-01-22,22,1825.3,1547.9,-16.2,Stop-loss hit (down -15%)
70,TMB,2025-12-31,2026-03-16,75,513.8,603.0,16.36,Lean Score 58 fell below exit 60 (signal faded / re-rated)
71,UJJIVANSFB,2025-12-31,2026-03-16,75,53.0,50.4,-5.81,Lean Score 50 fell below exit 60 (signal faded / re-rated)
72,VAIBHAVGBL,2025-12-31,2026-03-23,82,233.7,193.2,-18.33,Stop-loss hit (down -17%)
73,VINCOFE,2025-12-31,2026-03-09,68,158.2,129.1,-19.39,Stop-loss hit (down -18%)
74,VIPIND,2025-12-31,2026-03-16,75,382.5,337.5,-12.76,Lean Score no longer computable
75,VIYASH,2025-12-31,2026-03-16,75,208.5,194.7,-7.65,Lean Score 47 fell below exit 60 (signal faded / re-rated)
76,VOLTAMP,2025-12-31,2026-03-16,75,7852.0,8372.5,5.63,Lean Score 55 fell below exit 60 (signal faded / re-rated)
77,WAAREERTL,2025-12-31,2026-03-04,63,967.6,806.0,-17.7,Stop-loss hit (down -17%)
78,AKUMS,2026-01-01,2026-05-04,123,445.9,559.1,24.4,Max holding period 120d reached
79,ASHOKA,2026-01-01,2026-01-20,19,167.9,142.0,-16.44,Stop-loss hit (down -15%)
80,GRMOVER,2026-01-01,2026-04-01,90,161.5,155.1,-4.94,Lean Score dropped 20 from peak 83 (trail 15)
81,IOC,2026-01-01,2026-03-23,81,165.9,138.1,-17.74,Stop-loss hit (down -17%)
82,KOTAKBANK,2026-01-01,2026-03-12,70,443.6,375.3,-16.39,Stop-loss hit (down -15%)
83,PNCINFRA,2026-01-01,2026-01-27,26,251.2,211.6,-16.78,Stop-loss hit (down -16%)
84,ROLEXRINGS,2026-01-01,2026-04-01,90,128.0,116.7,-9.84,Lean Score 60 fell below exit 60 (signal faded / re-rated)
85,SUNTV,2026-01-01,2026-05-04,123,585.7,575.9,-2.68,Max holding period 120d reached
86,JSWINFRA,2026-01-06,2026-03-16,69,277.9,250.4,-10.91,Lean Score 50 fell below exit 60 (signal faded / re-rated)
87,BELRISE,2026-01-13,2026-03-06,52,175.7,197.2,11.22,Lean Score 57 fell below exit 60 (signal faded / re-rated)
88,DEEPINDS,2026-01-13,2026-03-16,62,378.0,349.0,-8.67,Lean Score no longer computable
89,CANBK,2026-01-14,2026-03-23,68,153.9,129.6,-16.81,Stop-loss hit (down -16%)
90,CEATLTD,2026-01-14,2026-03-30,75,3829.2,3242.5,-16.32,Stop-loss hit (down -15%)
91,SHAREINDIA,2026-01-14,2026-03-02,47,149.5,126.0,-16.7,Stop-loss hit (down -16%)
92,HBLENGINE,2026-01-20,2026-03-16,55,705.1,656.2,-7.93,Lean Score 58 fell below exit 60 (signal faded / re-rated)
93,OSWALPUMPS,2026-01-20,2026-02-11,22,422.7,356.8,-16.6,Stop-loss hit (down -16%)
94,THOMASCOOK,2026-01-20,2026-02-24,35,128.3,107.1,-17.53,Stop-loss hit (down -17%)
95,ASHOKA,2026-01-21,2026-03-09,47,141.2,117.4,-17.89,Stop-loss hit (down -17%)
96,AXISCADES,2026-01-21,2026-03-16,54,1119.2,1318.6,16.82,Lean Score 40 fell below exit 60 (signal faded / re-rated)
97,GODREJPROP,2026-01-21,2026-03-16,54,1644.4,1560.0,-6.13,Lean Score dropped 15 from peak 80 (trail 15)
98,LTFOODS,2026-01-21,2026-04-01,70,337.9,384.0,12.64,Lean Score 40 fell below exit 60 (signal faded / re-rated)
99,SWIGGY,2026-01-21,2026-03-12,50,334.6,280.9,-17.04,Stop-loss hit (down -16%)
100,TANLA,2026-01-21,2026-04-27,96,438.0,583.0,32.09,Lean Score 43 fell below exit 60 (signal faded / re-rated)
101,JMFINANCIL,2026-01-22,2026-04-01,69,131.3,120.3,-9.36,Lean Score 46 fell below exit 60 (signal faded / re-rated)
102,PREMIERENE,2026-01-22,2026-03-16,53,739.8,795.8,6.57,Lean Score 52 fell below exit 60 (signal faded / re-rated)
103,SANGHVIMOV,2026-01-22,2026-03-04,41,294.9,247.6,-17.05,Stop-loss hit (down -16%)
104,JISLJALEQS,2026-01-23,2026-03-23,59,34.4,27.7,-20.45,Stop-loss hit (down -19%)
105,PSPPROJECT,2026-01-23,2026-03-16,52,689.5,667.6,-4.18,Lean Score 50 fell below exit 60 (signal faded / re-rated)
106,TATACOMM,2026-01-23,2026-04-23,90,1560.2,1580.7,0.31,Lean Score 36 fell below exit 60 (signal faded / re-rated)
107,ADANIENT,2026-01-27,2026-03-16,48,1959.5,1978.0,-0.06,Lean Score 55 fell below exit 60 (signal faded / re-rated)
108,ENGINERSIN,2026-01-27,2026-04-01,64,164.6,201.0,21.13,Lean Score 53 fell below exit 60 (signal faded / re-rated)
109,MARKSANS,2026-01-27,2026-05-27,120,161.2,249.3,53.65,Max holding period 120d reached
110,NORTHARC,2026-01-27,2026-03-16,48,260.7,214.0,-18.92,Stop-loss hit (down -18%)
111,SHILPAMED,2026-01-27,2026-05-27,120,268.4,491.8,82.27,Max holding period 120d reached
112,BLS,2026-01-28,2026-03-16,47,264.4,244.1,-8.68,Lean Score dropped 19 from peak 79 (trail 15)
113,BRIGADE,2026-01-28,2026-04-01,63,735.4,672.6,-9.53,Lean Score 43 fell below exit 60 (signal faded / re-rated)
114,DIXON,2026-01-28,2026-03-16,47,10279.0,10263.0,-1.16,Lean Score 48 fell below exit 60 (signal faded / re-rated)
115,PNCINFRA,2026-01-28,2026-03-23,54,213.4,173.6,-19.64,Stop-loss hit (down -19%)
116,CHENNPETRO,2026-01-29,2026-05-29,120,874.9,1058.2,19.96,Max holding period 120d reached
117,SAMHI,2026-01-29,2026-03-23,53,169.5,133.6,-22.16,Stop-loss hit (down -21%)
118,TRIVENI,2026-01-29,2026-03-20,50,351.1,359.8,1.48,Lean Score dropped 15 from peak 81 (trail 15)
119,DEEPAKFERT,2026-02-02,2026-04-01,58,969.6,988.4,0.93,Lean Score 38 fell below exit 60 (signal faded / re-rated)
120,EIDPARRY,2026-02-02,2026-03-16,42,891.2,786.1,-12.79,Lean Score dropped 15 from peak 82 (trail 15)
121,IIFL,2026-02-02,2026-03-16,42,495.1,475.4,-4.98,Lean Score 60 fell below exit 60 (signal faded / re-rated)
122,360ONE,2026-02-09,2026-03-16,35,1138.3,1022.9,-11.14,Lean Score 51 fell below exit 60 (signal faded / re-rated)
123,EPL,2026-02-11,2026-03-13,30,221.9,183.9,-18.11,Stop-loss hit (down -17%)
124,RCF,2026-02-11,2026-03-05,22,135.9,114.2,-16.95,Stop-loss hit (down -16%)
125,AUROPHARMA,2026-02-12,2026-05-22,99,1157.9,1463.5,25.39,Lean Score 46 fell below exit 60 (signal faded / re-rated)
126,HAPPSTMNDS,2026-02-12,2026-03-16,32,380.7,377.4,-1.88,Lean Score 50 fell below exit 60 (signal faded / re-rated)
127,OSWALPUMPS,2026-02-12,2026-03-04,20,350.9,298.1,-16.02,Stop-loss hit (down -15%)
128,CIEINDIA,2026-02-13,2026-04-24,70,456.6,457.2,-0.86,Lean Score dropped 19 from peak 83 (trail 15)
129,SONATSOFTW,2026-02-13,2026-03-13,28,279.1,235.8,-16.53,Stop-loss hit (down -16%)
130,ZYDUSLIFE,2026-02-13,2026-04-01,47,904.7,863.2,-5.59,Lean Score dropped 18 from peak 84 (trail 15)
131,JUBLPHARMA,2026-02-17,2026-04-01,43,899.4,816.5,-10.21,Lean Score 40 fell below exit 60 (signal faded / re-rated)
132,ECLERX,2026-02-23,2026-03-17,22,1736.2,1474.7,-16.06,Stop-loss hit (down -15%)
133,NFL,2026-02-25,2026-03-30,33,78.3,64.5,-18.6,Stop-loss hit (down -18%)
134,SAGILITY,2026-02-25,2026-04-01,35,42.8,41.7,-3.43,Lean Score 55 fell below exit 60 (signal faded / re-rated)
135,THOMASCOOK,2026-02-25,2026-03-09,12,103.8,88.0,-16.21,Stop-loss hit (down -15%)
136,STAR,2026-02-27,2026-04-01,33,851.5,963.6,12.16,Lean Score dropped 32 from peak 96 (trail 15)
137,POWERMECH,2026-03-02,2026-05-21,80,2000.4,2473.9,22.67,Lean Score 59 fell below exit 60 (signal faded / re-rated)
138,RTNPOWER,2026-03-04,2026-04-01,28,7.8,8.3,5.96,Lean Score 34 fell below exit 60 (signal faded / re-rated)
139,FEDFINA,2026-03-05,2026-06-19,106,129.3,154.6,18.56,still open (marked to last close)
140,OSWALPUMPS,2026-03-05,2026-06-19,106,304.4,422.9,37.91,still open (marked to last close)
141,SANGHVIMOV,2026-03-05,2026-06-19,106,249.8,414.8,65.03,Lean Score dropped 16 from peak 81 (trail 15)
142,WAAREERTL,2026-03-05,2026-06-19,106,815.1,988.0,20.22,still open (marked to last close)
143,RCF,2026-03-06,2026-06-19,105,114.1,136.7,18.74,still open (marked to last close)
144,ASHOKA,2026-03-10,2026-04-01,22,120.0,110.7,-8.76,Lean Score 52 fell below exit 60 (signal faded / re-rated)
145,CHOLAHLDNG,2026-03-10,2026-03-16,6,1572.8,1570.6,-1.14,Lean Score dropped 16 from peak 79 (trail 15)
146,FINPIPE,2026-03-10,2026-03-30,20,185.3,149.9,-20.1,Stop-loss hit (down -19%)
147,NSLNISP,2026-03-10,2026-03-16,6,37.6,35.9,-5.62,Lean Score no longer computable
148,THOMASCOOK,2026-03-10,2026-04-01,22,93.9,95.8,1.01,Lean Score 43 fell below exit 60 (signal faded / re-rated)
149,VINCOFE,2026-03-10,2026-03-23,13,134.5,133.2,-1.96,Lean Score dropped 15 from peak 76 (trail 15)
150,BALRAMCHIN,2026-03-11,2026-05-18,68,519.0,541.1,3.25,Lean Score 55 fell below exit 60 (signal faded / re-rated)
151,APOLLOTYRE,2026-03-13,2026-06-19,98,400.3,425.5,5.3,still open (marked to last close)
152,KOTAKBANK,2026-03-13,2026-04-01,19,366.9,356.1,-3.94,Lean Score 48 fell below exit 60 (signal faded / re-rated)
153,M&M,2026-03-13,2026-06-19,98,2931.1,3074.8,3.9,still open (marked to last close)
154,SWIGGY,2026-03-13,2026-03-16,3,282.1,284.6,-0.13,Lean Score no longer computable
155,AARTIPHARM,2026-03-16,2026-04-01,16,629.4,635.0,-0.09,Lean Score dropped 17 from peak 79 (trail 15)
156,ACC,2026-03-16,2026-04-01,16,1373.2,1327.9,-4.3,Lean Score dropped 31 from peak 92 (trail 15)
157,ADANIPOWER,2026-03-16,2026-04-01,16,154.1,157.1,0.98,Lean Score 58 fell below exit 60 (signal faded / re-rated)
158,AFCONS,2026-03-16,2026-04-01,16,278.5,282.4,0.4,Lean Score 42 fell below exit 60 (signal faded / re-rated)
159,AGI,2026-03-16,2026-04-28,43,506.8,672.5,31.72,Lean Score 59 fell below exit 60 (signal faded / re-rated)
160,ANGELONE,2026-03-16,2026-04-17,32,216.6,322.5,47.86,Lean Score dropped 16 from peak 97 (trail 15)
161,ARE&M,2026-03-16,2026-04-22,37,769.0,898.7,15.86,Lean Score dropped 16 from peak 95 (trail 15)
162,AWL,2026-03-16,2026-06-19,95,172.3,184.3,5.97,still open (marked to last close)
163,BAJAJHLDNG,2026-03-16,2026-04-01,16,9631.0,8907.0,-8.52,Lean Score 59 fell below exit 60 (signal faded / re-rated)
164,BALUFORGE,2026-03-16,2026-04-01,16,441.8,424.6,-4.89,Lean Score 39 fell below exit 60 (signal faded / re-rated)
165,BECTORFOOD,2026-03-16,2026-04-01,16,180.3,188.8,3.7,Lean Score 58 fell below exit 60 (signal faded / re-rated)
166,BEML,2026-03-16,2026-04-01,16,1495.9,1476.8,-2.28,Lean Score 39 fell below exit 60 (signal faded / re-rated)
167,BPCL,2026-03-16,2026-04-01,16,304.9,281.2,-8.77,Lean Score dropped 15 from peak 87 (trail 15)
168,CENTRALBK,2026-03-16,2026-04-01,16,35.0,33.1,-6.59,Lean Score 42 fell below exit 60 (signal faded / re-rated)
169,CHAMBLFERT,2026-03-16,2026-06-19,95,413.1,484.2,16.23,still open (marked to last close)
170,CIPLA,2026-03-16,2026-05-13,58,1300.0,1327.6,1.12,Lean Score 54 fell below exit 60 (signal faded / re-rated)
171,CMSINFO,2026-03-16,2026-05-15,60,290.4,302.9,3.34,Lean Score dropped 16 from peak 83 (trail 15)
172,COFORGE,2026-03-16,2026-04-01,16,1080.6,1153.9,5.78,Lean Score 51 fell below exit 60 (signal faded / re-rated)
173,CYIENT,2026-03-16,2026-04-24,39,854.5,873.0,1.17,Lean Score 44 fell below exit 60 (signal faded / re-rated)
174,DRREDDY,2026-03-16,2026-04-01,16,1276.9,1209.6,-6.27,Lean Score 44 fell below exit 60 (signal faded / re-rated)
175,ELECON,2026-03-16,2026-04-15,30,375.6,412.9,8.9,Lean Score 39 fell below exit 60 (signal faded / re-rated)
176,ELECTCAST,2026-03-16,2026-04-01,16,69.6,81.2,15.58,Lean Score 54 fell below exit 60 (signal faded / re-rated)
177,EPL,2026-03-16,2026-05-15,60,180.1,215.3,18.53,Lean Score 48 fell below exit 60 (signal faded / re-rated)
178,EXIDEIND,2026-03-16,2026-04-01,16,295.1,299.9,0.59,Lean Score 59 fell below exit 60 (signal faded / re-rated)
179,GAIL,2026-03-16,2026-05-22,67,146.1,160.8,9.07,Lean Score 57 fell below exit 60 (signal faded / re-rated)
180,GENUSPOWER,2026-03-16,2026-05-18,63,239.5,304.8,26.24,Lean Score 50 fell below exit 60 (signal faded / re-rated)
181,GHCL,2026-03-16,2026-04-01,16,454.8,445.2,-3.1,Lean Score dropped 24 from peak 93 (trail 15)
182,GLAND,2026-03-16,2026-06-19,95,1609.2,2199.0,35.65,still open (marked to last close)
183,GNFC,2026-03-16,2026-04-01,16,417.7,391.2,-7.33,Lean Score dropped 17 from peak 95 (trail 15)
184,GOKULAGRO,2026-03-16,2026-05-18,63,159.2,240.6,50.15,Lean Score dropped 15 from peak 83 (trail 15)
185,GREAVESCOT,2026-03-16,2026-06-19,95,135.8,198.5,45.25,Lean Score dropped 15 from peak 82 (trail 15)
186,HCC,2026-03-16,2026-04-01,16,14.9,15.1,0.34,Lean Score 52 fell below exit 60 (signal faded / re-rated)
187,HEG,2026-03-16,2026-04-01,16,498.6,564.1,12.15,Lean Score 38 fell below exit 60 (signal faded / re-rated)
188,HERITGFOOD,2026-03-16,2026-04-01,16,308.8,307.7,-1.36,Lean Score 49 fell below exit 60 (signal faded / re-rated)
189,HINDPETRO,2026-03-16,2026-06-19,95,353.8,392.1,9.83,still open (marked to last close)
190,HUDCO,2026-03-16,2026-06-19,95,172.1,208.7,20.22,still open (marked to last close)
191,IRB,2026-03-16,2026-05-20,65,20.7,21.1,1.18,Lean Score dropped 30 from peak 93 (trail 15)
192,IRCON,2026-03-16,2026-06-19,95,125.8,137.2,8.03,still open (marked to last close)
193,J&KBANK,2026-03-16,2026-06-19,95,123.7,163.6,31.27,still open (marked to last close)
194,JAICORPLTD,2026-03-16,2026-04-01,16,96.5,96.5,-0.98,Lean Score 56 fell below exit 60 (signal faded / re-rated)
195,JINDALSAW,2026-03-16,2026-04-28,43,196.7,240.3,21.17,Lean Score dropped 24 from peak 96 (trail 15)
196,JINDRILL,2026-03-16,2026-05-25,70,474.2,629.1,31.67,Lean Score 54 fell below exit 60 (signal faded / re-rated)
197,JKIL,2026-03-16,2026-04-01,16,495.4,455.9,-8.97,Lean Score dropped 28 from peak 93 (trail 15)
198,JKLAKSHMI,2026-03-16,2026-05-21,66,583.8,619.8,5.18,Lean Score 52 fell below exit 60 (signal faded / re-rated)
199,KALAMANDIR,2026-03-16,2026-06-19,95,96.2,109.3,12.57,still open (marked to last close)
200,KEC,2026-03-16,2026-05-18,63,534.6,487.6,-9.79,Lean Score 48 fell below exit 60 (signal faded / re-rated)
201,KNRCON,2026-03-16,2026-04-01,16,120.8,123.8,1.52,Lean Score dropped 18 from peak 98 (trail 15)
202,KPIL,2026-03-16,2026-06-19,95,1088.1,1398.7,27.55,still open (marked to last close)
203,KRBL,2026-03-16,2026-04-01,16,290.4,302.9,3.31,Lean Score 54 fell below exit 60 (signal faded / re-rated)
204,LICHSGFIN,2026-03-16,2026-05-14,59,501.5,560.4,10.74,Lean Score dropped 32 from peak 98 (trail 15)
205,LICI,2026-03-16,2026-06-19,95,388.7,440.1,12.24,still open (marked to last close)
206,MAHABANK,2026-03-16,2026-06-19,95,63.3,90.2,41.41,Lean Score dropped 18 from peak 78 (trail 15)
207,MOREPENLAB,2026-03-16,2026-06-19,95,37.8,49.5,30.13,still open (marked to last close)
208,MOTILALOFS,2026-03-16,2026-06-19,95,670.0,953.5,41.32,Lean Score 58 fell below exit 60 (signal faded / re-rated)
209,MSTCLTD,2026-03-16,2026-04-01,16,405.7,388.3,-5.29,Lean Score 58 fell below exit 60 (signal faded / re-rated)
210,NATCOPHARM,2026-03-16,2026-04-01,16,946.1,1001.9,4.89,Lean Score 58 fell below exit 60 (signal faded / re-rated)
211,NCC,2026-03-16,2026-05-18,63,141.8,152.7,6.66,Lean Score dropped 23 from peak 93 (trail 15)
212,NMDC,2026-03-16,2026-05-18,63,77.6,90.1,15.22,Lean Score dropped 16 from peak 80 (trail 15)
